File,DynAMICS,aDoctor,Manual_Inspection
AutomaticUpdateTask.java,0,1,0
DownloadPoolService.java,0,1,0
TriggerActivity.java,0,1,0
WebthingService.java,1,0,1
FsService.java,0,1,1
MonitorApplication.java,0,1,0
UDPListener.java,0,1,0
PlaybackService.java,0,1,1
DragController.java,0,1,0
SwitchAccessService.java,0,1,0
AwooNotificationService.java,0,1,1
Wakelock.java,0,1,0
AlarmInitReceiver.java,0,1,0
AlarmStateManager.java,0,0,0
TimerModel.java,0,1,1
MusicService.java,0,0,0
PlayerController.java,0,1,0
DataSource.java,0,1,0
DebugStatusService.java,0,1,1
WakefulBroadcastReceiver.java,0,1,0
ProcessorVolumeStream.java,0,0,0
CustomDrawableFactory.java,0,1,0
receiverpictureactivity.java,0,1,0
UsbSerialPort.java,0,1,0
AlarmReceiverLife.java,0,0,0
CameraActivity.java,0,1,0
MediaButtonIntentReceiver.java,0,0,0
MusicService_2.java,0,0,1
CountingActivity.java,0,1,0
MusicService_3.java,0,0,1
DataContentProvider.java,0,1,0
SyncContentProvider.java,0,1,0
LockManager.java,0,1,0
MediaButtonIntentReceiver_2.java,0,Unkwon,0
IntentTimer.java,0,1,0
Run.java,0,0,1
MainActivity.java,0,1,0
ForceDozeService.java,0,0,0
StateMachineConnection.java,0,1,0
TimerService.java,1,0,1
MainService.java,0,1,1
MainService_2.java,0,1,0
WakeLockManager.java,0,0,0
HttpUploadConnection.java,0,1,0
XmppConnectionService.java,0,1,0
MusicTrackListFragment.java,0,0,0
ExportAllService.java,0,1,0
